Entity,Christians_Percent,Muslims_Percent,Hindus_Percent,Buddhists_Percent,FolkReligions_Percent,Jews_Percent,Other_Percent,Unaffiliated_Percent
China,5.21147085,2.015927337,0.002159151,18.33119218,21.92401948,0.000359859,0.688049459,51.82682169
Thailand,0.910236662,6.007561966,0.112029128,92.59207394,0.084021846,0.00700182,0.00700182,0.280072819
Myanmar,7.781951266,4.237696234,1.714340749,79.82278725,5.759414427,0.009631128,0.1733603,0.500818646
Japan,1.756707977,0.176472947,0.03208599,33.19295713,0.401074881,0.004010749,4.451931176,59.98475915
Cambodia,0.370256094,1.974699167,0.030854674,96.82196853,0.555384141,0.030854674,0.030854674,0.185128047
Vietnam,8.377452507,0.186857677,0.005190491,16.15280806,45.01193813,0.005190491,0.4048583,29.85570435
Sri Lanka,7.196801422,10.39537983,13.72723234,68.59173701,0.02221235,0.02221235,0.02221235,0.02221235
South Korea,30.06313258,0.300631326,0.040084177,21.94608678,0.821725624,0.010021044,0.220462972,46.5978555
India,2.436861495,15.38106602,78.85770315,0.731058449,0.47151107,0.000720965,2.056192007,0.064886845
Malaysia,9.413880977,66.16699146,5.816219457,15.64982761,2.188577425,0.014990256,0.149902563,0.599610253
Taiwan,5.796479176,0.042936883,0.021468441,21.16788321,43.75268356,0.021468441,15.50021468,13.69686561
Laos,1.520387008,0.0691085,0.0691085,63.99447132,32.75742916,0.0691085,0.691085003,0.829302004
Nepal,0.478670984,5.040123891,80.52935379,9.967619316,3.632268056,0.014078558,0.08447135,0.25341405
Singapore,17.70212766,16.17021277,6.468085106,32.17021277,2.382978723,0.085106383,8.510638298,16.5106383
Indonesia,10.21023298,87.05806525,1.535515914,0.682451518,0.284354799,0.001895699,0.136490304,0.090993536
Mongolia,2.190923318,3.442879499,0.156494523,54.14710485,3.442879499,0.156494523,0.156494523,36.30672926
Bangladesh,0.308404009,90.74787972,8.178637092,0.616808019,0.071170156,0.002965423,0.071170156,0.002965423
Hong Kong,14.96325985,2.13760855,0.400801603,13.36005344,12.95925184,0.066800267,1.469605878,54.64261857
Australia,61.69255928,3.025347506,1.676206051,2.943581357,0.735895339,0.490596893,0.858544563,28.57726901
Bhutan,0.584795322,0.584795322,22.22222222,72.51461988,2.339181287,0.584795322,0.584795322,0.584795322
United Kingdom,59.11988804,6.142124086,1.601617167,0.590887887,0.139947131,0.419841393,0.777484062,31.20821023
North Korea,1.971220185,0.019712202,0.019712202,1.498127341,12.33983836,0.019712202,12.89178001,71.2398975
Canada,66.44772852,2.818828681,1.669403394,1.012588944,1.231527094,1.149425287,1.176792556,24.49370553
France,58.14559387,8.32183908,0.061302682,0.475095785,0.383141762,0.521072797,0.168582375,31.92337165
Brazil,88.11747095,0.019008245,0.002376031,0.11880153,3.174376886,0.052272673,0.142561836,8.373131846
Germany,66.0417184,6.866153464,0.099329526,0.285572386,0.049664763,0.273156196,0.124161907,26.26024336
United Arab Emirates,12.95215869,74.91248541,7.701283547,2.450408401,0.058343057,0.058343057,0.700116686,1.166861144
Kuwait,13.51351351,70.57057057,9.90990991,5.405405405,0.15015015,0.15015015,0.15015015,0.15015015
Russia,72.90548759,11.40445017,0.042927667,0.121628389,0.214638334,0.143092223,0.007154611,15.16062102
Italy,80.94367835,4.917760425,0.232596777,0.249210832,0.016614055,0.083070277,0.099684333,13.45738495
Saudi Arabia,4.381326484,92.73304124,1.329505968,0.392808581,0.271944402,0.015108022,0.241728358,0.634536939
Philippines,92.36324246,5.714027803,0.00451345,0.090269002,1.579707528,0.00451345,0.144430403,0.099295902
Macau,6.779661017,0.847457627,0.847457627,16.94915254,57.62711864,0.847457627,0.847457627,15.25423729
South Africa,80.77565411,1.874188161,1.002041195,0.167006866,0.482464279,0.111337911,0.334013732,15.25329375
New Zealand,52.8616025,1.664932362,2.497398543,1.873048907,0.416233091,0.104058273,0.832466181,39.75026015
Qatar,13.5371179,65.06550218,15.72052402,3.930131004,0.218340611,0.218340611,0.436681223,0.873362445
Kazakhstan,23.098434,71.97986577,0.027964206,0.33557047,0.391498881,0.027964206,0.111856823,4.026845638
Sweden,63.04568528,6.497461929,0.304568528,0.609137056,0.203045685,0.101522843,0.203045685,29.03553299
Peru,95.40003036,0.015181418,0.015181418,0.151814179,1.001973584,0.015181418,0.333991195,3.066646425
Netherlands,47.3313783,6.862170088,0.586510264,0.293255132,0.234604106,0.175953079,0.234604106,44.28152493
Switzerland,70.04433186,5.573147562,0.506649778,0.633312223,0.063331222,0.253324889,0.126662445,22.79924003
Bahrain,14.23728814,69.15254237,10.16949153,3.389830508,0.338983051,0.338983051,0.338983051,2.033898305
Turkey,0.470850629,97.99888483,0.006195403,0.049563224,0.037172418,0.037172418,0.210643702,1.189517378
Belgium,60.51423324,7.438016529,0.091827365,0.367309458,0.275482094,0.275482094,0.091827365,30.94582185
Norway,81.81818182,4.835589942,0.580270793,0.773694391,0.096711799,0.096711799,0.193423598,11.60541586
Brunei,8.510638298,72.34042553,1.063829787,8.510638298,6.382978723,1.063829787,1.063829787,1.063829787
Jordan,2.096985583,97.11664482,0.131061599,0.393184797,0.065530799,0.065530799,0.065530799,0.065530799
Pakistan,1.568325596,96.45202415,1.91951507,0.009621629,0.019243259,0.002405407,0.014432444,0.014432444
Nigeria,46.9346881,51.12109814,0.00244248,0.009769918,1.489912559,0.00244248,0.053734551,0.385911778
Spain,75.22727273,3.326446281,0.082644628,0.041322314,0.103305785,0.123966942,0.041322314,21.05371901
Argentina,85.38505419,0.935539076,0.011409013,0.045636052,0.752994866,0.456360525,0.273816315,12.13918996
Ukraine,85.57167731,1.694718514,0.069645966,0.046430644,0.046430644,0.092861288,0.011607661,12.46662797
Czech Republic,20.91812589,0.189304307,0.047326077,0.189304307,0.189304307,0.047326077,0.047326077,78.37198296
Portugal,90.48768711,0.386286818,0.048285852,0.193143409,0.193143409,0.048285852,0.048285852,8.5948817
Israel,2.091807089,20.10459035,0.058105752,0.23242301,0.23242301,73.91051714,0.116211505,3.253922138
Austria,78.5046729,6.191588785,0.058411215,0.23364486,0.058411215,0.23364486,0.11682243,14.60280374
Libya,2.69541779,96.63072776,0.067385445,0.269541779,0.067385445,0.067385445,0.067385445,0.134770889
Denmark,81.76211454,5.110132159,0.528634361,0.352422907,0.088105727,0.088105727,0.088105727,11.98237885
Oman,6.528189911,85.75667656,5.637982196,0.59347181,0.148367953,0.148367953,0.890207715,0.296735905
Mexico,94.1031746,0.003968254,0.003968254,0.007936508,0.055555556,0.063492063,0.015873016,5.746031746
Uzbekistan,1.994210357,97.07301383,0.016082342,0.032164683,0.064329366,0.032164683,0.016082342,0.771952396
Ivory Coast,43.97367339,37.18634307,0.020567668,0.041135335,10.48951049,0.020567668,0.164541341,8.103661045
Chile,88.37334772,0.053951983,0.026975991,0.053951983,1.456703534,0.107903965,0.215807931,9.711356892
Guinea,10.80234834,84.54011742,0.039138943,0.078277886,2.661448141,0.039138943,0.039138943,1.800391389
Honduras,87.45874587,0.110011001,0.055005501,0.110011001,1.100110011,0.055005501,0.660066007,10.4510451
Ireland,89.73607038,1.56402737,0.391006843,0.195503421,0.097751711,0.097751711,0.097751711,7.820136852
Puerto Rico,96.31578947,0.131578947,0.131578947,0.263157895,0.789473684,0.131578947,0.131578947,2.105263158
Ethiopia,61.92572079,35.89337817,0.004945354,0.004945354,2.096830028,0.004945354,0.009890708,0.059344246
Egypt,4.679102118,95.28928233,0.005269259,0.005269259,0.005269259,0.005269259,0.005269259,0.005269259
DR Congo,95.83823184,1.540089349,0.047025629,0.005878204,0.728897249,0.005878204,0.12932048,1.70467905
Iran,0.12306935,99.53848994,0.02461387,0.006153467,0.006153467,0.006153467,0.172297089,0.12306935
