Entity,Avg_Years_Schooling
Afghanistan,5.69
Africa,6.6818657
Albania,10.32
Algeria,8.18
Argentina,9.86
Armenia,10.54
Asia,8.571011
Australia,12.93
Austria,10.39
Bahrain,8.21
Bangladesh,7.23
Barbados,9.67
Belgium,11.57
Belize,10.71
Benin,6.27
Bolivia,9.06
Botswana,10.58
Brazil,8
Brunei,9.28
Bulgaria,10.75
Burundi,5.05
Cambodia,5.81
Cameroon,7.37
Canada,12.93
Central African Republic,4.64
Chile,10.74
China,8.99
Colombia,10.2
Congo,6.74
Costa Rica,9.12
Cote d'Ivoire,6.05
Croatia,12.03
Cuba,11.61
Cyprus,12.42
Czechia,12.93
Democratic Republic of Congo,4.85
Denmark,11.69
Dominican Republic,9.04
Ecuador,9.07
Egypt,8.01
El Salvador,8.1
Estonia,12.29
Eswatini,6.46
Europe,11.9022875
Fiji,11.52
Finland,11.05
France,11.89
Gabon,10.18
Gambia,4.92
Germany,13.1
Ghana,8.39
Greece,11.86
Guatemala,6.26
Guyana,8.52
Haiti,5.95
Honduras,7.51
Hong Kong,12.83
Hungary,11.96
Iceland,13.53
India,7.8
Indonesia,9.06
Iran,9.8
Iraq,8.27
Ireland,13.74
Israel,12.04
Italy,11.51
Jamaica,10.1
Japan,12.83
Jordan,10.81
Kazakhstan,11.79
Kenya,6.73
Kuwait,6.62
Kyrgyzstan,11.18
Laos,6.05
Latvia,11.96
Lesotho,6.88
Liberia,5.8
Libya,9.57
Lithuania,12.5
Luxembourg,11.53
Macao,10.97
Malawi,5.41
Malaysia,11.96
Maldives,8.06
Mali,3.55
Malta,12.09
Mauritania,5.55
Mauritius,10.4
Mexico,10.18
Moldova,10.84
Mongolia,10
Morocco,6.83
Mozambique,4.22
Myanmar,6.48
Namibia,6.88
Nepal,6.19
Netherlands,11.82
New Zealand,10.81
Nicaragua,7.76
Niger,3.04
North America,11.858304
Norway,12.08
Oceania,10.736105
Pakistan,6.41
Panama,10.44
Papua New Guinea,4.84
Paraguay,8.83
Peru,9.96
Philippines,9.44
Poland,12.01
Portugal,9.56
Qatar,8.52
Reunion,8.71
Romania,11.28
Russia,11.6
Rwanda,5.24
Saudi Arabia,9.86
Senegal,4.4
Serbia,11.72
Sierra Leone,4.99
Singapore,13.06
Slovakia,13.14
Slovenia,12.06
South Africa,10.47
South America,8.909957
South Korea,13.68
Spain,11.51
Sri Lanka,10.33
Sudan,4.38
Sweden,11.93
Switzerland,12.97
Syria,7.92
Taiwan,12.76
Tajikistan,10.12
Tanzania,6.87
Thailand,9.32
Togo,7.68
Tonga,11.42
Trinidad and Tobago,11.28
Tunisia,9.29
Turkey,8.49
Uganda,6.69
Ukraine,10.82
United Arab Emirates,9.57
United Kingdom,12.9
United States,13.32
Uruguay,8.76
Venezuela,9.33
Vietnam,8.35
World,8.840671
Yemen,5.56
Zambia,8.37
Zimbabwe,8.32
